"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy","auc"
"1","fold1","0.9086","0.9323","0.8825","0.8972","0.9323","0.9144","0.9074","0.9074"
"2","fold2","0.8962","0.9274","0.8639","0.8756","0.9274","0.9008","0.8957","0.8957"
"3","fold3","0.9059","0.95","0.8584","0.8783","0.95","0.9128","0.9042","0.9042"
"4","fold4","0.91","0.9459","0.8696","0.8908","0.9459","0.9175","0.9077","0.9077"
"5","fold5","0.903","0.927","0.8723","0.9028","0.927","0.9148","0.8996","0.8996"
"6","fold6","0.8881","0.9204","0.8539","0.8697","0.9204","0.8943","0.8872","0.8872"
"7","fold7","0.9044","0.9383","0.8624","0.8941","0.9383","0.9157","0.9003","0.9003"
"8","fold8","0.9045","0.9233","0.883","0.9002","0.9233","0.9116","0.9032","0.9032"
"9","fold9","0.9086","0.9544","0.8611","0.8768","0.9544","0.914","0.9078","0.9078"
"10","fold10","0.9291","0.9472","0.9075","0.924","0.9472","0.9355","0.9273","0.9273"
"11","ave.","0.91","0.94","0.87","0.89","0.94","0.91","0.9","0.9"
