"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy"
"1","fold1",0.93,0.94,0.86,0.87,0.94,0.91,0.9
"2","fold2",0.9,0.95,0.91,0.93,0.95,0.94,0.93
"3","fold3",0.9,0.94,0.85,0.88,0.94,0.91,0.89
"4","fold4",0.9,0.93,0.86,0.88,0.93,0.9,0.89
"5","fold5",0.91,0.93,0.87,0.88,0.93,0.91,0.9
"6","fold6",0.92,0.95,0.86,0.89,0.95,0.92,0.91
"7","fold7",0.9,0.94,0.89,0.9,0.94,0.92,0.92
"8","fold8",0.89,0.95,0.84,0.87,0.95,0.91,0.89
"9","fold9",0.92,0.91,0.86,0.88,0.91,0.89,0.88
"10","fold10",0.9,0.94,0.9,0.92,0.94,0.93,0.92
