"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy","auc"
"1","fold1","0.9372","0.957","0.9142","0.9287","0.957","0.9426","0.9356","0.9356"
"2","fold2","0.9385","0.9514","0.9238","0.9347","0.9514","0.943","0.9376","0.9376"
"3","fold3","0.9359","0.9613","0.9111","0.9134","0.9613","0.9367","0.9362","0.9362"
"4","fold4","0.94","0.9468","0.932","0.9421","0.9468","0.9444","0.9394","0.9394"
"5","fold5","0.9112","0.9446","0.8787","0.8834","0.9446","0.913","0.9117","0.9117"
"6","fold6","0.9441","0.9608","0.9257","0.934","0.9608","0.9472","0.9433","0.9433"
"7","fold7","0.9467","0.9672","0.9226","0.9364","0.9672","0.9516","0.9449","0.9449"
"8","fold8","0.925","0.9338","0.9147","0.9268","0.9338","0.9303","0.9243","0.9243"
"9","fold9","0.9332","0.9296","0.9373","0.9463","0.9296","0.9379","0.9335","0.9335"
"10","fold10","0.9482","0.9679","0.9238","0.94","0.9679","0.9538","0.9458","0.9458"
"11","ave.","0.94","0.95","0.92","0.93","0.95","0.94","0.94","0.94"
