"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy","auc"
"1","fold1","0.9372","0.9654","0.9238","0.9399","0.9654","0.9525","0.9446","0.9446"
"2","fold2","0.9385","0.957","0.9201","0.9333","0.957","0.945","0.9385","0.9385"
"3","fold3","0.9359","0.9488","0.915","0.9275","0.9488","0.9381","0.9319","0.9319"
"4","fold4","0.94","0.9613","0.9111","0.9134","0.9613","0.9367","0.9362","0.9362"
"5","fold5","0.9112","0.9443","0.9231","0.9348","0.9443","0.9395","0.9337","0.9337"
"6","fold6","0.9441","0.9418","0.8841","0.8877","0.9418","0.914","0.913","0.913"
"7","fold7","0.9467","0.9687","0.9286","0.9369","0.9687","0.9525","0.9486","0.9486"
"8","fold8","0.925","0.9646","0.9226","0.9363","0.9646","0.9502","0.9436","0.9436"
"9","fold9","0.9332","0.9364","0.9088","0.9223","0.9364","0.9293","0.9226","0.9226"
"10","fold10","0.9482","0.9372","0.9343","0.9443","0.9372","0.9407","0.9358","0.9358"
"11","ave.","0.94","0.95","0.92","0.93","0.95","0.94","0.94","0.94"
