"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy","auc"
"1","fold1","0.9563","0.9638","0.948","0.954","0.9638","0.9589","0.9559","0.9559"
"2","fold2","0.9508","0.9477","0.9539","0.9529","0.9477","0.9503","0.9508","0.9508"
"3","fold3","0.9454","0.9385","0.9534","0.9581","0.9385","0.9482","0.9459","0.9459"
"4","fold4","0.9413","0.9321","0.9514","0.9545","0.9321","0.9432","0.9418","0.9418"
"5","fold5","0.944","0.9407","0.9477","0.953","0.9407","0.9468","0.9442","0.9442"
"6","fold6","0.9536","0.934","0.9764","0.9787","0.934","0.9558","0.9552","0.9552"
"7","fold7","0.9372","0.9415","0.9326","0.9365","0.9415","0.939","0.937","0.937"
"8","fold8","0.955","0.945","0.967","0.9717","0.945","0.9582","0.956","0.956"
"9","fold9","0.9577","0.9388","0.9795","0.9813","0.9388","0.9596","0.9591","0.9591"
"10","fold10","0.9495","0.9606","0.9358","0.9489","0.9606","0.9547","0.9482","0.9482"
"11","ave.","0.95","0.94","0.95","0.96","0.94","0.95","0.95","0.95"
