"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy"
"1","fold1",0.93,0.96,0.92,0.92,0.96,0.94,0.94
"2","fold1",0.92,0.94,0.93,0.93,0.94,0.93,0.93
"3","fold2",0.94,0.9,0.95,0.95,0.9,0.92,0.92
"4","fold3",0.94,0.93,0.94,0.94,0.93,0.94,0.94
"5","fold4",0.93,0.94,0.95,0.96,0.94,0.95,0.94
"6","fold5",0.94,0.91,0.95,0.96,0.91,0.94,0.93
"7","fold6",0.91,0.91,0.95,0.96,0.91,0.93,0.93
"8","fold7",0.92,0.89,0.95,0.96,0.89,0.92,0.92
"9","fold8",0.93,0.92,0.92,0.93,0.92,0.92,0.92
"10","fold9",0.91,0.92,0.96,0.96,0.92,0.94,0.94
"11","fold10",0.94,0.92,0.91,0.93,0.92,0.93,0.92
