"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy"
"1","fold1",0.89,0.86,0.93,0.93,0.86,0.9,0.9
"2","fold2",0.91,0.87,0.95,0.95,0.87,0.91,0.91
"3","fold3",0.92,0.91,0.93,0.94,0.91,0.92,0.92
"4","fold4",0.93,0.9,0.96,0.96,0.9,0.93,0.93
"5","fold5",0.92,0.9,0.95,0.95,0.9,0.92,0.92
"6","fold6",0.92,0.91,0.93,0.94,0.91,0.92,0.92
"7","fold7",0.91,0.88,0.95,0.95,0.88,0.91,0.91
"8","fold8",0.92,0.9,0.94,0.93,0.9,0.92,0.92
"9","fold9",0.93,0.91,0.95,0.95,0.91,0.93,0.93
"10","fold10",0.91,0.89,0.93,0.93,0.89,0.91,0.91
