"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy"
"1","fold1",0.89,0.9,0.93,0.93,0.9,0.92,0.91
"2","fold2",0.91,0.87,0.92,0.93,0.87,0.9,0.9
"3","fold3",0.92,0.89,0.95,0.95,0.89,0.92,0.92
"4","fold4",0.93,0.91,0.93,0.94,0.91,0.93,0.92
"5","fold5",0.92,0.9,0.96,0.96,0.9,0.93,0.93
"6","fold6",0.92,0.91,0.94,0.95,0.91,0.93,0.93
"7","fold7",0.91,0.91,0.93,0.94,0.91,0.92,0.92
"8","fold8",0.92,0.87,0.94,0.94,0.87,0.91,0.91
"9","fold9",0.93,0.9,0.94,0.94,0.9,0.92,0.92
"10","fold10",0.91,0.9,0.95,0.96,0.9,0.92,0.92
