"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy","auc"
"1","fold1","0.9236","0.9591","0.9123","0.9259","0.9591","0.9422","0.9357","0.9357"
"2","fold2","0.9331","0.9497","0.896","0.8971","0.9497","0.9227","0.9229","0.9229"
"3","fold3","0.9659","0.9574","0.9129","0.9294","0.9574","0.9432","0.9352","0.9352"
"4","fold4","0.9536","0.9713","0.9619","0.9713","0.9713","0.9713","0.9666","0.9666"
"5","fold5","0.9454","0.9721","0.941","0.9504","0.9721","0.9611","0.9565","0.9565"
"6","fold6","0.9386","0.9593","0.9174","0.9309","0.9593","0.9449","0.9383","0.9383"
"7","fold7","0.9276","0.9451","0.9307","0.9428","0.9451","0.944","0.9379","0.9379"
"8","fold8","0.9332","0.9636","0.902","0.916","0.9636","0.9392","0.9328","0.9328"
"9","fold9","0.9222","0.9394","0.9297","0.9292","0.9394","0.9342","0.9346","0.9346"
"10","fold10","0.94","0.9629","0.8764","0.8919","0.9629","0.926","0.9196","0.9196"
"11","ave.","0.94","0.96","0.92","0.93","0.96","0.94","0.94","0.94"
