"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy","auc"
"1","fold1","0.9004","0.9471","0.8507","0.871","0.9471","0.9075","0.8989","0.8989"
"2","fold2","0.9003","0.9254","0.8717","0.8911","0.9254","0.9079","0.8986","0.8986"
"3","fold3","0.9113","0.9593","0.8559","0.885","0.9593","0.9206","0.9076","0.9076"
"4","fold4","0.9045","0.9332","0.8721","0.8919","0.9332","0.9121","0.9026","0.9026"
"5","fold5","0.9167","0.9352","0.8943","0.9146","0.9352","0.9248","0.9147","0.9147"
"6","fold6","0.895","0.9323","0.8539","0.8753","0.9323","0.9029","0.8931","0.8931"
"7","fold7","0.9085","0.9342","0.8783","0.9","0.9342","0.9168","0.9063","0.9063"
"8","fold8","0.9018","0.9396","0.8645","0.8724","0.9396","0.9048","0.902","0.902"
"9","fold9","0.9195","0.9439","0.8885","0.9149","0.9439","0.9292","0.9162","0.9162"
"10","fold10","0.9031","0.9335","0.8711","0.8841","0.9335","0.9082","0.9023","0.9023"
"11","ave.","0.91","0.94","0.87","0.89","0.94","0.91","0.9","0.9"
