"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy","auc"
"1","fold1","0.9209","0.8886","0.9568","0.9581","0.8886","0.922","0.9227","0.9227"
"2","fold2","0.9071","0.896","0.9207","0.933","0.896","0.9141","0.9084","0.9084"
"3","fold3","0.9318","0.9261","0.937","0.9314","0.9261","0.9288","0.9316","0.9316"
"4","fold4","0.9263","0.8949","0.9621","0.9641","0.8949","0.9282","0.9285","0.9285"
"5","fold5","0.9208","0.8972","0.9475","0.951","0.8972","0.9233","0.9223","0.9223"
"6","fold6","0.9181","0.9015","0.9377","0.9444","0.9015","0.9225","0.9196","0.9196"
"7","fold7","0.9098","0.8997","0.9213","0.9284","0.8997","0.9138","0.9105","0.9105"
"8","fold8","0.9222","0.916","0.929","0.9332","0.916","0.9245","0.9225","0.9225"
"9","fold9","0.9181","0.8859","0.9595","0.9656","0.8859","0.9241","0.9227","0.9227"
"10","fold10","0.9127","0.8974","0.9292","0.9317","0.8974","0.9142","0.9133","0.9133"
"11","ave.","0.92","0.9","0.94","0.94","0.9","0.92","0.92","0.92"
