"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy","auc"
"1","fold1","0.9209","0.8974","0.9292","0.9317","0.8974","0.9142","0.9133","0.9133"
"2","fold2","0.9071","0.8886","0.9539","0.9554","0.8886","0.9208","0.9212","0.9212"
"3","fold3","0.9318","0.8985","0.9146","0.9284","0.8985","0.9132","0.9066","0.9066"
"4","fold4","0.9263","0.9148","0.937","0.9306","0.9148","0.9226","0.9259","0.9259"
"5","fold5","0.9208","0.8923","0.9621","0.964","0.8923","0.9268","0.9272","0.9272"
"6","fold6","0.9181","0.8946","0.9446","0.9482","0.8946","0.9206","0.9196","0.9196"
"7","fold7","0.9098","0.9015","0.9377","0.9444","0.9015","0.9225","0.9196","0.9196"
"8","fold8","0.9222","0.9049","0.93","0.9362","0.9049","0.9203","0.9175","0.9175"
"9","fold9","0.9181","0.9186","0.9347","0.9383","0.9186","0.9284","0.9266","0.9266"
"10","fold10","0.9127","0.8835","0.9626","0.9681","0.8835","0.9239","0.9231","0.9231"
"11","ave.","0.92","0.9","0.94","0.94","0.9","0.92","0.92","0.92"
