"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy","auc"
"1","fold1","0.9236","0.9497","0.8987","0.8995","0.9497","0.9239","0.9242","0.9242"
"2","fold2","0.9331","0.9549","0.9069","0.9248","0.9549","0.9396","0.9309","0.9309"
"3","fold3","0.9659","0.9713","0.9587","0.969","0.9713","0.9701","0.965","0.965"
"4","fold4","0.9536","0.9721","0.9322","0.9433","0.9721","0.9575","0.9521","0.9521"
"5","fold5","0.9454","0.9644","0.9233","0.9358","0.9644","0.9499","0.9438","0.9438"
"6","fold6","0.9386","0.9426","0.9337","0.945","0.9426","0.9438","0.9382","0.9382"
"7","fold7","0.9276","0.9532","0.8991","0.9129","0.9532","0.9327","0.9262","0.9262"
"8","fold8","0.9332","0.9394","0.927","0.9266","0.9394","0.933","0.9332","0.9332"
"9","fold9","0.9222","0.9629","0.8792","0.8941","0.9629","0.9272","0.921","0.921"
"10","fold10","0.94","0.9642","0.9123","0.9263","0.9642","0.9449","0.9382","0.9382"
"11","ave.","0.94","0.96","0.92","0.93","0.96","0.94","0.94","0.94"
